produs2,pret
ciocolata lapte si crema zmeura 95g laura,2.05
bomboane de ciocolata cu aroma de cafea belgian 60g,6.44
ciocolata cu lapte si crema de caise laura,2.05
praline lapte si capsuni 103g primola,4.12
jeleuri asortate de fucte d'auvergne reflets de france 240g,18.1
jeleuri juicee gummee sour apple belts 85g,3.85
praline asortate piasten 200g,5.24
praline asortate 105g primola,4.4
mix napolitane carrefour 400g,9.22
biscuiti cu crema de capsuni tempo strawberry 54g,1.35
biscuiti cu ciocolata helleman's 300g,5.35
ciocolata cu lapte cu nuca de cocos alpinella 80g,1.75
ciocolata cu crema de capsuni laura 95g,2.05
tableta cu aroma de capsuni 90g,0.79
ciocolata neagra 60% carrefour selection madagascar 80g,4.39
bomboane de ciocolata belgian 200g,14.36
jeleuri mar juicee gummee 85g,3.85
jeleuri gumate viermisori sugus jelly mania 75g,2.45
bomboane ciocolata amaruie umplute cu whisky teacher's warner hudson 150g,5.72
bomboane mamba 106g,4.6
vafe cu sirop de zahar carrefour 230 g,7.02
biscuiti cu umplutura de mere ulker biskrem apple 80g,1.99
biscuit cu fructe tedi strudelino 21 g,0.6
biscuiti vanilie cu crema cacao rostar max's 155g,3.7
biscuiti vanilie si rom 140g rom,3
bautura din orez isola bio riso choquinoa 1l,15.38
ciocolata cu lapte si arahide acoperite intr-o coaja de culoare piasten 100g,1.8
baton alune-guarana isostar pulse energy 6 buc 138g,15.9
ciocolata cu crema de visine ciocolata amaruie 95g,2
ciocolata cu alune piasten 150g,6.88
ciocolata cu lapte lacasa lacasitos 100g,5.45
bomboane cu lapte si crema ciocolata laura 140g,3.99
jeleuri paianjeni 75g sugus,2.45
bomboane cu lapte si crema romlaura 140g,3.19
praline cu lapte si umplutura cremoasa lindt and sprungli 212g,47.9
jeleuri cu aroma de cola carrefour 200g,2.9
bomboane de ciocolata cu lapte cu umplutura cremoasa lindt,3.52
fursecuri tivoli 150 g,11
biscuiti cacao cu crema vanilie rostar max's 1+1-50% 300g,7.05
guma de mestecat cu aroma de tutti frutti malabar 214g,10.24
napolitane cu crema de cacao si glazura de cacao naty 180g,3.2
biscuiti vanilie si fructe de padure 123g cremita,2.19
rulada cu crema cacao carrefour 200g,2.4
ciocolata amaruie cu crema rom rom 88g,3.3
tableta amaruie americana 100g,1.79
bomboane de ciocolata belgiene belgian 60g,6.4
bomboane cu lapte si crema capsuni si frisca  laura 140g,3.19
skittles wild berry 174g,4.75
bomboane gumate cu aroma de cola haribo 200g,6.9
jeleuri gumate ursuleti sugus jelly mania 75g,2.45
praline ciocolata alba si cappucino 105g primola,4.4
"praline lapte, coniac si ciocolata 107g primola",4.24
turta dulce invelita in ciocolata manner 180 g,7.05
fursecuri cu rom happy fursec 300 g,6.4
biscuiti cacao cu crema vanilie 1+1-50% rostar max's 155g,3.7
vafa cu crema de caise yoo hoo 50 g,2.9
biscuiti vanilie si cacao 123g cremita,2.19
biscuiti cacao si crema rom 60g rom,1.45
biscuiti palets unt saint michel 150g,10.42
ciocolata delicioasa amaruie alune poiana 90g,2.65
tableta vanilie montana 400g,6.99
bomboane de ciocolata cu crema de frisca si capsune poiana 126g,6.5
drajeuri cu gust de portocale tic tac 18g,2.35
jeleuri juicee gummee pencils strawberry 85g,3.85
turta dulce cu prune manner 180 g,7.05
baton cu cacao si alune ria 30 g,1
nugat cu migdale la pasticceria 100 g,17.3
vafa cu crema de cacao yoo hoo 50 g,2.9
vafa cu umplutura de capsuni yoo hoo 50 g,2.9
biscuiti kemalpasa baktat 165g,13.8
biscuiti vanilie cu crema cacao rostar max's 300g,7.05
maxi nuga cu stafide sultan 80g,1.8
ciocolata cu lapte si arahide laura 90g,2
tableta cu vanilie crinolina 100g,2.5
tableta de cacao cu lapte si arahide americana 100g,1.79
tableta cu crema de capsuni americana 100g,1.79
baton cu rom electro'choc 30g,0.49
bomboane gumate juicee gummee 100g,3.69
bomboane crema cappucino 140g laura,3.19
"praline lapte, caramel si frisca 104g primola",3.52
baton cereale nestle nesquik 25g,0.9
baton cereale nestle fitness natural 23.5g,1.25
baton cereale nestle cini minis 25g,1
baton cereale nestle fitness strawbery 23.5g,1.25
fulgi crocanti de porumb nestle corn flakes 500g,8.49
cereale mic dejun nestle nesquik duo 460g,9.1
"activ bar cu fibre, ovaz si fructe rommac 30g",1.3
"musli cu cereale integrale, seminte si fructe sanovita 500g",8.3
baton cereale cu merisoare corny big 50g,2.45
cereale mic dejun nestle chocapic 500g,9.79
cereale mic dejun nestle fitness chocolate 425g,10.5
cereale mic dejun nestle fitness 425g,8.29
cereale mic dejun nestle cheerios honey 500g,9.79
baton cereale nestle chocapic 25g,0.9
musli cu fructe sanovita 1kg,14.1
cereale mic dejun nestle cini minis 500g,9.85
baton cereale cu ciocolata si banane corny big 50g,2.45
cereale mic dejun nestle fitness&fruits 425g,10.5
cereale mic dejun nestle cheerios honey 250g,5.19
cereale mic dejun nestle fitness yoghurt 425g,10.5
pernite umplute cu crema de cacao viva 200g,2.65
cereale mic dejun nestle nesquik alphabet 460g,9.1
fulgi crocanti de porumb nestle gold flakes 250g,5.7
baton de cereale cu ciocolata alba fitness delice nestle 22.5g,1.2
cereale mic dejun nestle lion 500g,9.79
fulgi de porumb sanovita 250g,4.9
"baton de cereale cu ciocolata, lapte si aroma de alune nestle 22.5g",1.2
musli extra crocant multi fruct dr. oetker vitalis 450g,10.99
baton de cereale cu fructe tropicale carrefour 20g,0.47
baton cereale cu merisoare carrefour discount 20g,0.47
musli cu ciocolata dr. oetker vitalis 300g,7.75
cereale mic dejun nestle nesquik 500g,8.93
musli instant cu fructe sanovita excelent 500g,6
baton cereale cu mere si caise carrefour discount 20g,0.47
musli cu fructe sanovita 500g,7.3
cereale mic dejun nestle cookie crisp 500g,9.85
cereale extrudate cu cacao si vitamine carrefour 500g,5.19
pernite umplute cu crema de vanilie viva 200g,2.65
cereale mic dejun nestle fitness&fruits 225g,5.9
fulgi de porumb rommac 250g,3.7
baton cereale cu ciocolata neagra corny big 50g,2.65
musli crocant cu banane dr. oetker vitalis 300g,7.75
musli extra crocant dr. oetker vitalis 450g,10.99
cereale musli sanovita exotic 250g,7.7
cereale mic dejun nestle cini minis 250g,5.19
musli crocant fructe si fibre carrefour bio 500g,11.99
cereale mic dejun cu capsune nestle cini minis 225g,5.1
cereale mic dejun nestle lion 250g,5.19
baton cereale cu ciocolata corny big 50g,2.45
"baton cereale miere, visine si catina rommac 20g",0.85
musli cu fibre 400g sanovita,8.5
cereale mic dejun nestle chocapic 250g,5.1
fulgi de ovaz carrefour 500g,2.49
cereale cu cacao si vitamine viva 250g,3.91
musli crocant cu miere dr.oetker vitalis 300g,7.75
cereale dulci cu gust de fructe rommac triti bell 100g,2
pernite umplute cu crema de cacao viva 100g,1.75
snack crunch crema de ciocolata olla 100g,1.75
fulgi crocanti de porumb nestle corn flakes 250g,5.7
cereale integrale colorate rommac 300g,5.8
fulgi de porumb rommac 1kg,14.65
alunite umplute cu crema de cacao olla 100g,1.75
cereale mic dejun nestle cookie crisp 250g,5.19
snack crunch crema de vanilie olla 100g,1.75
fulgi cu ovaz integral si cereale in forma de o nestle 400g,10.49
fulgi de grau cu miere si caramel rommac hero 150g,2.95
cereale integrale carrefour fruits&fibres 500g,9.4
cereale mic dejun nestle strawberry minis 500g,11.5
baton de cereale cu cacao carrefour 20g,0.47
musli bio cocos si caise verival 325 g,23.37
cereale mic dejun nestle fitness 225g,5.6
baton musli cu portocale carrefour 25g,0.65
baton musli cu visine si ciocolata carrefour 25g,0.87
cereale cu cacao viva 250g,3.91
fulgi de porumb cu miere carrefour 150g,1.6
cereale cu miere carrefour 500g,5.19
cereale cu ciocolata cookie crisp brownie nestle,9.85
cereale cu cacao carrefour 500g,5.19
cereale mic dejun nestle nesquik 250g,5.55
musli cu goji fara zahar solaris 500g,11
baton ciocolata isostar reload sport bar 120g,16.05
fulgi crocanti de orez rommac 250g,4.85
musli mix fara zahar solaris 150g,8.49
fulgi cu ovaz integral si cereale cheerios nestle 400g,10.49
musli crunchy cu ovaz verival 375 g,22.05
musli crocant cu fructe rommac 500g,11.3
mix de fructe coapte carrefour 300g,14.9
fulgi de grau cu miere carrefour 375g,5.25
cereale duo carrefour 500g,5.19
cereale active sticks rommac 125g,2.5
viva cereale duo mix de cereale vanilla balls si cocoa balls  250g,3.7
cereale cu miere rommac brio 250g,5.4
musli mar bio si caise verival 375 g,23.37
musli mix alune solaris 150g,8.49
musli mix solaris 150g,5.49
cereale glazurate cu ciocolata rommac brio 250g,4.2
baton energizant alune-ciocolata isostar cereal max 55g,6
cereale expandate cu merisor casali 100g,8.75
baton cereale cu cacao si lapte rommac 25g,0.95
cereale cu ciocolata brio 250g,4.6
cereale expandate invelite in ciocolata cu lapte casali 100g,8.75
crisp muesli cerbona chocolate 200g,3.99
musli bio din  grau verival 375 g,22.05
musli crocant de banane fitella 50g,1.7
cereale milupa 250g,17.4
inele de cereale cu miere disney cerbona 225g,3.89
cereale orez si piersici 6 luni+ milupa 180g,10.5
musli crocant de capsuni fitella 50g,1.7
musli bio cu miere miere verival 375 g,22.05
musli crocant cu stafide rommac crunchy musli 1kg,10.66
cerbona choco cereal flakes disney 225g,3.89
fulgi din cereale disney cerbona 225g,3.89
cereale de ciocolata cu umplutura de ciocolata carrefour x'trem 400g,5.9
musli bio bircher verival 375 g,23.37
pulpa de rosii cirio 400g,4.49
porumb dulce bonduelle 170g,3.49
mazare bonduelle 800g,7.09
ciuperci de paris taiate carrefour 360g,3.59
rosii decojite cirio 400g,4.75
rosii taiate cuburi olympia 400g,3.4
pasta de tomate sultan 70g,1.37
pate cu ficat de porc antrefrig 100g,1.95
pasta de rosii italiana cirio 500g,4.75
pate de porc scandia sibiu 120g,3.15
pate de pui integral scandia sibiu 120g,3.24
fasole verde pastai taiate bonduelle 400g,6.1
pate vegetal original mandy 120g,2.15
rosii pasate olympia 750g,7.09
pate de pui integral scandia sibiu 200g,5.8
compot de piersici olympia 700g,6.59
pate de porc bucegi 200g,3.4
ton in ulei de masline rio mare 160g,15.2
porumb dulce bonduelle 400g,4.79
ton bucati in ulei vegetal hame ocean 185g,7.49
mazare bonduelle 400g,4.5
ciuperci taiate la grande famiglia 360g,4.63
zacusca de vinete coapte olympia 295g,4.55
mazare verde carrefour 680g,2.99
pate cu porc 200g,1.28
zacusca taraneasca raureni 300g,5.2
spanac taiat d'aucy 795g,7.8
porumb dulce maxim's 340g,3.05
fasole verde taiata d'aucy 820g,8
ton in sos natur calvo 160g,9.65
zacusca cu ciuperci mandy 300g,3.81
castraveti in otet carrefour 670g,4.99
sardine in ulei vegetal siblou 125g,4
conserva ton in ulei de masline rio mare 3 x 80g,25.05
sardine in ulei king oscar 110g,5.05
miere poliflora albina carpatina 750g,17.99
rosii tocate in suc de rosii heinz 400g,4.8
mazare fina maxim's 750g,4.18
pasta de rosii cirio 680g,9.4
conserva ananas felii bitar 565g,4.69
ciuperci de paris taiate carrefour 280g,3.19
ton in suc propriu rio mare 160g,12.5
fasole boabe alba carrefour 400g,2.63
zacusca taraneasca mandy 300g,3.45
mazare verde boabe carrefour 680 g,3.1
mazare foarte fina si morcovi d'aucy 400g,4.8
fasole boabe alba bonduelle 400g,5.6
ton bucati in apa siblou 185g,7.95
pasta de tomate sultan 800g,9.35
sprot afumat in ulei maseko 150g,5.7
pate de porc tulip 125g,4.8
ton bucati in ulei vegetal calvo 160g,9.65
ton in ulei de masline calvo 160g,11.95
mazare verde d'aucy 800g,5.69
pate de porc ardealul 100g,2.15
pasta de tomate de tip 24 sultan 500g,9.8
fasole galbena pastai d'aucy 800g,8.7
ton bucati in ulei vegetal siblou 185g,9.2
pasta tomate rossa'c 720g,4.49
linte bonduelle 400g,6.06
suc de rosii drag de romania 750ml,3.99
pate de rata integral scandia sibiu 120g,4.4
ananas bucati bitar 565g,3.99
mazare verde mijlocie naturelo 700g,3.65
ficat de cod in ulei propiu king oscar 121g,8.2
gogosari sferturi in otet defne 600g,6.59
bucati de ananas in suc dole 567g,7.45
bulion carrefour 580g,3.49
conserva carne de porc scandia sibiu 300g,8.74
pasta de tomate sultan 200g,3.69
file de hering in sos de rosii cu ardei carrefour 170g,3.79
pate de ton rio mare 100g,10.5
porumb dulce home garden 400g,2.99
felii de ananas in suc dole 567g,9
gogosari in otet carrefour 670g,4.35
fasole cu costita afumata 300g,2.27
magiun de prune topoloveni 350g,17.2
pate cu ficat de porc antrefrig 200g,3.9
ciuperci feliate merve 400g,4.5
salata mexicana din ton cu legume rio mare insalatissime 150g,13.4
pate cu pui 100g,0.65
pasta de tomate carrefour 720g,3.99
mazare verde extrafina d'aucy 140g,3.48
bucati de ananas in suc dole 680g,12.7
pasta de tomate carrefour 710g,3.09
pate de pui ardealul 100g,2.15
salata de sfecla rosie cuburi olympia 700g,5
porumb dulce heinz 400g,4.2
masline negre intregi defne 250g,4.15
pate de curcan scandia sibiu 200g,5.05
conserva ton bucati in suc propriu hame 185g,6.74
zacusca cu ciuperci carrefour 300g,2.61
fasole galbena pastai carrefour 690g,3.35
porumb dulce boabe d'aucy 170g,2.99
file de macrou in ulei vegetal carrefour 170g,4.89
compot de piersici carrefour 700g,4.59
pate de somon roz rio mare 100g,11.95
ciuperci de paris taiate 290g,2.19
ciuperci feliate merve 314g,4.45
pulpa de rosii cu ierburi aromatice cirio 400g,5.95
spanac taiat d'aucy 395g,4.65
concentrat dublu de tomate 28% carrefour 70g,0.87
pulpa de rosii cu busuioc cirio 390g,4.9
piure de rosii panzani tomacouli 500g,4.2
sardine in sos tomat king oscar 110g,4.6
ton in ulei de masline carrefour 240g,14.99
sardine in ulei vegetal home garden 110g,3.95
ton bucati in ulei vegetal home garden 170g,6.89
dulceata de visine raureni 350g,9.95
gustare cu carne de porc 300g,2.33
pate vegetal cu ciuperci mandy 120g,2.23
rosii cubetate in suc propriu rossa'c 240g,2.77
rosii pasate heinz 500g,4.8
ardei capia copti darinne 530g,9.05
pate vegetal ardealul 100g,2.1
ciuperci feliate bonduelle 314ml,5.6
castraveti cornison in otet defne 648g,4.79
pate vegetal cu masline mandy 120g,1.8
pasta masline negre carrefour 100g,6.29
ardei iute in otet defne 370ml,4.75
sardine in ulei le grande famiglia 125g,3.99
pulpa de rosii cirio 390g,4.9
rosii pasate mutti 700g,7.2
pulpa de rosii baneasa 400g,3.1
rosii intregi decojite merve 400g,3.2
porumb dulce crocant carrefour 150g,1.59
conserva carne de vita scandia sibiu 300g,8.74
cirio polpa con basilico 400g,5.95
pate de porc scandia sibiu 200g,4.8
miere poliflora pirifan 500g,13.35
ananas bucati in sirop usor indulcit hame 567g,8
masline negre intregi defne 500g,9.44
ficat de cod carrefour 121g,6.76
porumb ultradulce d'aucy gold 340g,3.45
salata de ton cu porumb rio mare 160g,13.4
fasole gatita in sos de  tomate heinz 415g,5.5
passata rustica carrefour 720ml,2.49
castraveti cornison in otet bonduelle 550g,12.9
bulion rossa'c 1l,6.64
pate de porc ardealul 300g,4.25
fasole verde pastai taiata merve 660g,4.49
bulion carrefour 310g,2.29
castraveti in otet naturelo 670g,4.09
bulion naturelo 314g,3.55
gulas de porc carrefour 300g,5.35
zacusca taraneasca bunatati de topoloveni 300g,3.5
macrou file in ulei home garden 170g,6.9
fasole cu carnaciori carrefour 300g,3.49
piure de tomate cirio 400g,6.25
pate de fazan scandia sibiu 120g,3.85
ton bucati in ulei vegetal home garden 80g,3.28
porumb dulce bonduelle 670g,8
pate vegetal cu ciuperci mandy 200g,3.38
bulion carrefour 350g,2.37
pulpa de rosii cu usturoi cirio 400g,5.95
crap file a la grec home garden 170g,6.9
pate de ficat cu ciuperci tulip 125g,5
pate de rata integral scandia sibiu 200g,6.5
masline verzi umplute cu somon maestro de oliva 314ml,5.5
hering file in ulei home garden 170g,5.9
conserva ton in ulei de masline rio mare 4 x 80g,25.6
conserva ton bucati in ulei de floarea soarelui rio mare 160g,8.1
dulceata de afine raureni 350g,10.55
mexico mix bonduelle gold 340g,6.5
ton maruntit in ulei vegetal home garden 80g,2.75
pate de porc via 130g,5.35
ciuperci taiate home garden 300g,4.2
ardei iute in otet raureni 280g,3.34
masline verzi cu ansua maestro de oliva 300g,5.5
pasta de tomate olympia 585g,9.07
zacusca picanta mandy 300g,4.6
ton in ulei de masline rio mare 240g,21.5
masline verzi cu lamaie maestro de oliva 300g,5.5
miere de tei pirifan 500g,18.79
sos cu pasta de tomate regal 540g,4.8
conserva cu linte maxim's 400g,3.3
capere darinne 250g,8.7
pate vegetal cu masline inedit helvet 100g,2.5
salata picanta cu macrou carrefour 165g,2.54
pate cu porc 100g,0.65
sfecla rosie bonduelle 400g,6.15
pate de porc bucegi 300g,4.2
pate de pui clasic hame 75g,2.15
zacusca taraneasca carrefour 300g,2.65
ciuperci intregi home garden 300g,4.19
anghinare taiata carrefour sottolio 340g,12.03
ardei kapia copti defne 690g,12.1
piure de castane raureni 350g,11.85
rosii taiate fin mutti 400g,4.1
porumb dulce boabe 400g,2.52
porumb dulce bonduelle 530g,8.35
ton in ulei de masline rio mare 3 x 160g,30.4
mazare si morcovi cubulete d'aucy 800g,7.3
macrou file in ulei king oscar 170g,9.55
gem de cirese negre st.dalfour 284g,11.4
bulion home garden 70ml,0.88
porumb dulce crocant carrefour 340g,2.1
hering in sos tomat home garden 170g,4.33
sos de rosii cirio 700g,10.75
sardine in sos tomat hame ocean 125g,4.6
gulas de vita carrefour 300g,5.09
dulceata de cirese albe darinne 360g,11.4
conserva cocktail de fructe in sirop maxim's 425g,7
pasta de tomate defne 800g,7.35
macrou file in sos tomat home garden 170g,6.9
porumb dulce boabe d'aucy 340g,4.4
pate de ficat picant tulip 125g,5.25
magiun de prune arovit 340g,4.79
ton in sos de rosii calvo 160g,8.95
sardine in ulei vegetal hame ocean 120g,4.7
miere de albine poliflora san francisco 500g,30.85
pasta de tomate 24% carrefour 800g,5.89
castraveti in otet defne 500 ml,7.76
fasole cu costita carrefour 300g,3.49
pasta de masline terre d'italia 180g,11.99
sardine in sos tomat home garden 110g,3.95
sprot in ulei home garden 170g,3.86
macrou file in sos tomat king oscar 170g,8.8
conserva sardine in ulei vegetal del mondo,3.19
ardei capia copti sera 680g,14.15
miere portocal carrefour 500g,19.24
sparanghel verde carrefour 330g,11.15
fasole bretona in sos tomat bonduelle 430g,7.28
pate cu ficat de rata capricii si delicii 175g,5.65
castraveti ardelenesti raureni 500g,5.95
pasta de tomate 24% carrefour 310g,2.99
pate de ton picant rio mare 100g,11.55
pastrav file in sos tomat home garden 170g,9.5
mancare de fasole carrefour 300g,2.8
dulceata de zmeura raureni 350g,9.7
dulceata extra de capsuni schwartau 340g,10.7
pate vegetal cu masline mandy 200g,2.95
masline verzi umplute cu paprika maestro de oliva 314ml,5.5
fasole alba boabe carrefour 400g,2.49
pasta masline verzi carrefour 100g,6.14
miere poliflora alpina carpatina 360ml,11.99
ton bucati natur 3 x 80g carrefour,12.21
compot de piersici olympia 1700ml,17
pate vegetal cu ciuperci gustare tartinabila hame 75g,2.15
pasta de masline kalamata delphi 212ml,8.85
pate de gasca via 130g,6.6
ciorba de vacuta carrefour 400g,5.62
rosii taiate fin mutii 1.2kg,13.92
zacusca picanta carrefour 300g,2.4
pate de pui ardealul 200g,3.4
pate de ficat antefrig 100g,2.42
bulion cu legume rossa'c 1kg,7.34
ciuperci de paris intregi carrefour 280g,4.45
conserva ton in sos natur calvo 80g,6.8
ton in apa siblou deluxe 200g,10.8
zacusca de vinete bunatati de topoloveni 300g,4.8
masline verzi umplute cu ton maestro de oliva 314ml,5.5
zacusca picanta olympia 300g,4.4
ton bucati in suc propriu lotka 160g,8.5
cornichons carrefour extra-fins 330g,6.06
pate din ficat de rata la piara 100g,7.81
ton maruntit in ulei vegetal siblou 170g,6.4
pasta de tomate carrefour 400g,3.49
conserva rosii decojite olympia 425g,2.79
masline verzi fara samburi mazza 397g,5.9
dulceata de coacaze negre reflets de france 325g,12.09
pate de porc sadu 120g,1.5
fasole galbena olympia 680g,4.85
conserva tonno al naturale rio mare 3 x 160g,30.4
pate de porc ardealul 200g,3.4
ton picant home garden 170g,6.79
pate de pui bucegi 300g,3.99
tomate raureni 700g,4
gem afine carrefour bio 360g,12.56
pate vegetal cu ardei gras mandy 120g,2.26
pate de pui carrefour 100g,1.3
pate cu ficat de rata hame 80g,2.2
pate vegetal bucegi 200g,3.9
gogosari in otet rossa'c 670ml,7.49
masline negre rondele farmer per kg,22.9
ciuperci taiate home garden 750g,9.1
pate de porc sadu 200g,2.5
ton bucati in ulei vegetal merve 170g,6.89
miere de salcam albina carpatina 360g,18.69
mazare heinz 400g,4.25
ton maruntit in ulei vegetal merve 170g,4.55
sardine in ulei nemo 125g,3.4
pate de pui ardealul 300g,4.25
gem de caise maxim's 340g,4.35
compot de mango st mamet 425ml,7.39
pate vegetal cu ardei ardealul 100g,2.1
tocana de legume carrefour 300g,2.75
anchois carrefour 280 g,11.86
pate vegetal cu spanac mandy 120g,2.25
passata cu busuioc carrefour 700g,4.21
mazare verde d'aucy 660g,8.4
dulceata extra de zmeura schwartau 340g,12.4
ciuperci intregi merve 280g,5.7
ciuperci murate darinne nameko 560g,14.25
fileuri de macrou in ulei vegetal giana 125g,3.15
dulceata de capsuni bio carrefour 360g,11.42
hering in ulei home garden 170g,4.33
pate cu ficat de porc carrefour 100g,1.3
masline kalamata extra large vlamar per kg,27.9
hummus scandia sibiu 200g,4.5
sunca de praga hame 340g,17.6
sardine in ulei natural home garden 215g,4.35
miere de la stupina de tei apicola costache 900g,19.59
ceapa argintie murata carrefour 300g,3.68
mazare verde carrefour 400g,2.35
ton in ulei vegetal siblou deluxe 200g,11.2
ciorba de burta sadu 400g,5.7
ciuperci taiate raureni 280g,4.3
rosii intregi decojite in suc propriu rossa'c 240g,2.77
pate cu ficat de gasca capricii si delicii 145g,4.15
bulion naturelo 1kg,8.8
ciuperci shiitake murate darinne 560g,11.25
conserva carne de porc carrefour 300g,4.35
sardine cu lamaie adriano saralina premium 90g,4.85
dulceata de capsuni arovit 340g,6.6
gem de zmeura cu rodii st.dalfour 284g,11.55
pate cu ficat de pui capricii si delicii 175g,5.65
sprot in sos tomat king oscar 170g,5.7
gem de gutui raureni 370g,5.45
pate vegetal cu verdeata inedit helvet 100g,3.69
pate vegetal cu ardei bucegi 200g,3.19
pasta de tomate home garden 80g,1.25
pasta de tomate carrefour 360g,1.69
sardine in sos tomat home garden 215g,4.35
miere de tei albina carpatina 360g,11.99
pate cu ficat de porc carrefour 200g,2.49
pulpa de rosii carrefour 950g,2.99
ton maruntit in ulei vegetal home garden 170g,4.25
ardei iuti in otet carrefour 300g,2.69
gogosari in otet darinne 680g,6.74
dulceata de afine arovit 340g,7.85
masline negre intregi carrefour 235g,4.83
salata de sfecla rosie carrefour 680g,2.8
miere de la stupina de tei apicola costache 500g,11.59
gem de caise carrefour bio 360g,11.42
pate vegetal cu ciuperci inedit helvet 100g,2.5
pate vegetal cu ardei bucegi 300g,3.4
sprot in ulei evra fish 170g,3.2
gem de petale de trandafir darinne 360g,10.2
pate de rata carrefour 180g,8.08
rosii decojite mazza 400g,4.5
sprot afumat in ulei home garden 170g,5.9
ardei pfefferoni in otet globus 370ml,4.1
sprot afumat in ulei king oscar 170g,7.25
ton bucati in ulei de masline lotka 160g,10
macrou in ulei home garden 170g,5.39
ton bucati in ulei si saramura carrefour 170g,5.99
sprot in sos tomat evra fish 170g,3.74
dulceata de smochine darinne 360g,11.4
pate vegetal cu ardei rosu gustare tartinabila hame 75g,2.15
"castraveti in otet defne 1,6 kg",11.7
pate vegetal picant inedit helvet 100g,2.5
pate clasic de porc mandy 120g,1.95
pate de pasare sadu 100g,1.5
paste de masline negre delphi 212ml,8.85
legume pentru cuscus carrefour 660g,7.9
sarmalute in foi de varza cu dichis de dafin scandia sibiu 400g,8.4
pate de pui hame 80g,1.75
pasta de vinete carrefour 100g,6.14
pate de pui bucegi junior mini 120g,2.8
pateu de ficat antefrig 200g,4.5
masline kalamata in saramura si ulei extra virgin masline xenia 360g,7.5
ciuperci intregi home garden 750g,11.9
carne de porc sadu 300g,5
ton in suc propriu eva 160g,8.65
ton in sos natural-continut redus de sare nostromo 240g,20.95
ton bucati in ulei de floarea soarelui lotka 160g,8.5
pate de ton la piara solo natural 150g,13.45
castraveti cornisor baktat 690g,10.77
pate cu ardei reflets de france 180g,8.78
pate intens de porc bucegi 120g,2.19
file de ansoa cu usturoi si patrunjel in ulei de masline delicius 90g,20
gem de portocale cu ghimbir st.dalfour 284g,11.55
marmelada de portocale terre d'italia 340g,8.69
pate cu ficat de curcan capricii si delicii 145g,3.25
pate rustico de ton cu ardei rio mare 115g,14.25
pate cu ficat de rata capricii si delicii  145g,4.15
macrou in sos tomat home garden 170g,5.39
sardine in sos de rosii la grande famiglia 120g,3.6
sfecla rosie felii darinne 680g,6.5
gem de ananas cu mango st.dalfour 284g,11.55
pate de curcan bucegi junior disney 120g,2.8
ciuperci de paris taiate carrefour 530g,5.99
amestec de ciuperci de padure murate darinne 560g,13.3
ardei iute murat sera 320g,10.3
dulceata de coacaze raureni 350g,8.7
pate de porc hame 80g,2.2
castraveti in otet home garden 720ml,5.12
miere de salcam pirifan inima naturii 500g,22.49
rosii decojite mutti 400g,4.24
file de ansoa cu ardei iute in ulei de masline delicius 90g,20
pasta vegetala 200g,1.65
masline feliate defne 720ml,14.45
masline verzi cu ardei farmer per kg,22.8
conserva de fasole pestrita maxim's 400g,3.74
pate vegetal cu ardei inedit helvet 100g,3.69
masline verzi umplute cu migdale in saramura xenia 355g,11.15
pasta de masline verzi delphi 212ml,8.85
fasole boabe borlotti giana 400g,2.6
masline verzi + gogosari defne per kg,22.9
pasta de tomate home garden 930g,9.15
pulpa de rosii mazza 400g,3.9
varza acra gatita cu vin alb carrefour 800g,9.66
sarmale la cuptor din carne porc si vita bunatati de topoloveni 500g,10.3
dulceata de mure raureni 350g,9.95
gem de smochine st.dalfour 284g,11.55
gem afine st.dalfour 284g,13.5
pate de curcan bucegi junior disney princess 120g,2.8
bulion rossa'c 314g,2.86
mazare verde boabe dulce bonduelle 200g,3.7
sardine in ulei vegetal cu lamaie eva 115g,4.7
ton in sos tomat home garden 170g,6.45
dulceata de visine darinne 360g,11.4
rosii decojite cuburi merve 400g,3.2
castraveti picanti in otet raureni 680g,6.5
pate clasic de pui mandy 200g,3.2
pate cu ficat de gasca carrefour 120g,2.69
masline negre intregi defne 1kg,18.5
rio mix bonduelle gold 400g,11.6
gogosari in otet globus 720ml,5.45
gogosari in otet home garden 720ml,5.85
miere de la stupina de salcam apicola costache 500g,15.75
dulceata extra de caise schwartau 340g,10.7
dulceata extra de visine schwartau 340g,10.7
dulceata fructe de padure arovit 340g,6.6
cocktail tropical de fructe hame 410g,7.2
masline verzi umplute cu gogosari defne 690ml,17.6
masline umplute cu jambon mazanilla jolca 300g,7.6
mazare verde boabe dulce bonduelle 580g,7.25
florida mix bonduelle gold 340g,9.25
carne afumata moravia hame 340g,17.6
carne presata de pasare sadu 300g,4.5
ton alb germon reflets de france 160g,15.73
catina miere cu fructe de padure albina carpatina 360g,13.2
dulceata de capsuni darinne 360g,11.4
pate de pui bucegi junior mikey 120g,2.8
pasta vegetala cu masline carrefour 120g,1.99
sos concentrat de tomate verival bio 250ml,14.37
carne porc bucegi  300g,5.6
hering in ulei king oscar 170g,6.95
somon file a la grec home garden 170g,8.2
fasole batuta mandy 200g,2.55
ardei capia copti giana 400g,11.95
file de hering in ulei vegetal nemo 170g,3.99
sardine in saramura si ulei de chilly hame ocean 120g,4.7
sprot afumat in ulei vegetal baltic club 240g,9.4
miere de floarea soarelui alpina carpatina 360,14.5
gem 4 fructe st.dalfour 284g,11.4
dulceata de afine darinne 360g,12.26
